iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
DZA,Algeria,renewables_share_elec,0.203,0.271,0.222,0.9,0.818,1.657,0.638,0.604,0.71,0.792,0.38,0.997,1.1,0.559,0.393,0.324,0.486,0.845,1.074,1.071,1.114,0.95,0.944,0.949,0.95,1.0,1.005,1.01,1.015,1.02,1.024
DZA,Algeria,low_carbon_share_elec,0.203,0.271,0.222,0.9,0.818,1.657,0.638,0.604,0.71,0.792,0.38,0.997,1.1,0.559,0.393,0.324,0.486,0.845,1.074,1.071,1.114,0.95,0.944,0.949,0.95,1.0,1.005,1.01,1.015,1.02,1.024
DZA,Algeria,fossil_share_elec,99.797,99.729,99.778,99.1,99.182,98.343,99.362,99.396,99.29,99.208,99.62,99.003,98.9,99.441,99.607,99.676,99.514,99.155,98.926,98.929,98.886,99.05,99.056,99.051,99.05,99.0,98.995,98.99,98.985,98.98,98.976
DZA,Algeria,renewables_share_energy,0.05,0.06,0.05,0.21,0.19,0.41,0.15,0.15,0.18,0.2,0.11,0.22,0.21,0.06,0.11,0.09,0.14,0.23,0.27,0.28,0.28,0.24,0.23,0.23,0.24,0.249,0.254,0.259,0.264,0.269,0.274
DZA,Algeria,hydro_electricity,0.05,0.07,0.06,0.26,0.25,0.55,0.22,0.22,0.28,0.3,0.17,0.5,0.62,0.33,0.25,0.14,0.22,0.06,0.12,0.15,0.05,0.01,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02
DZA,Algeria,solar_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.57,0.69,0.71,0.82,0.79,0.83,0.87,0.91,0.944,0.98,1.015,1.05,1.086,1.121
DZA,Algeria,wind_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.026,0.029,0.031,0.034,0.037,0.04
DZA,Algeria,biofuel_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,nuclear_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,coal_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
